week_start_date,cases,outbreak_flag,risk_level
1991-09-17,89,True,High Risk
1991-09-24,92,True,High Risk
1991-10-01,140,True,High Risk
1991-10-08,116,True,High Risk
1991-10-15,142,True,High Risk
1991-10-22,129,True,High Risk
1991-10-29,140,True,High Risk
1991-11-05,140,True,High Risk
1991-11-12,127,True,High Risk
1991-11-19,129,True,High Risk
1991-11-26,169,True,High Risk
1991-12-03,141,True,High Risk
1991-12-10,108,True,High Risk
1992-01-08,104,True,High Risk
1992-01-15,90,True,High Risk
1992-01-22,85,True,High Risk
1994-08-06,84,True,High Risk
1994-08-20,89,True,High Risk
1994-08-27,115,True,High Risk
1994-09-03,179,True,High Risk
1994-09-10,202,True,High Risk
1994-09-17,272,True,High Risk
1994-09-24,302,True,High Risk
1994-10-01,395,True,High Risk
1994-10-08,426,True,High Risk
1994-10-15,461,True,High Risk
1994-10-22,381,True,High Risk
1994-10-29,333,True,High Risk
1994-11-05,353,True,High Risk
1994-11-12,410,True,High Risk
1994-11-19,364,True,High Risk
1994-11-26,359,True,High Risk
1994-12-03,288,True,High Risk
1994-12-10,221,True,High Risk
1994-12-17,149,True,High Risk
1994-12-24,112,True,High Risk
1995-01-01,154,True,High Risk
1995-01-08,91,True,High Risk
1997-10-29,112,True,High Risk
1998-06-25,102,True,High Risk
1998-07-02,128,True,High Risk
1998-07-09,127,True,High Risk
1998-07-16,150,True,High Risk
1998-07-23,191,True,High Risk
1998-07-30,256,True,High Risk
1998-08-06,329,True,High Risk
1998-08-13,263,True,High Risk
1998-08-20,220,True,High Risk
1998-08-27,204,True,High Risk
1998-09-03,181,True,High Risk
1998-09-10,99,True,High Risk
1998-10-01,102,True,High Risk
1998-10-08,127,True,High Risk
1998-11-19,84,True,High Risk
1998-11-26,85,True,High Risk
1998-12-17,89,True,High Risk
2004-12-02,89,True,High Risk
2004-12-09,128,True,High Risk
2005-08-06,88,True,High Risk
2005-08-13,87,True,High Risk
2005-08-20,130,True,High Risk
2005-08-27,119,True,High Risk
2005-09-03,137,True,High Risk
2005-09-10,131,True,High Risk
2005-09-17,112,True,High Risk
2007-08-27,93,True,High Risk
2007-09-10,119,True,High Risk
2007-09-17,111,True,High Risk
2007-09-24,103,True,High Risk
2007-10-01,176,True,High Risk
2007-10-08,146,True,High Risk
2007-10-15,112,True,High Risk
